topic_cluster,vertical,ru_views,ru_videos,kz_views,kz_videos,gap_score
Кейсы и обзоры конкретных ремонтов/проектов,repair,3386699,29,13,1,3343.2
Обзоры автомобилей и их компонентов,tires,3030151,89,564,9,1937.4
Технические аспекты и рекомендации по использованию шин,tires,1981758,55,181,4,1678.0
Прочие темы автомобильной тематики,tires,4157193,128,3300,20,966.8
Сравнительный анализ шин разных брендов,tires,945416,42,0,0,945.4
Бюджетные и практичные решения в ремонте и дизайне,repair,1716323,17,2325,16,516.2
Обзоры и тесты конкретных моделей летних шин,tires,613875,20,491,2,411.7
DIY установка сантехники и отделки ванных/душевых,repair,293500,9,0,0,293.5
Обзоры и тесты конкретных моделей зимних шин,tires,1133217,36,3718,25,240.2
Ошибки и исправления в дизайне интерьера,repair,683288,10,2206,13,213.1
"Электромонтаж, умный дом и системы вентиляции",repair,698428,10,5525,26,107.0
Поддельные и фальсифицированные шины,tires,103352,4,663,6,62.1
Строительство и выбор участка/домовладения,repair,256937,11,6469,32,34.4
"Выбор и укладка напольных покрытий (ламинат, кварцвинил, SPC)",repair,65986,13,2346,15,19.7
